"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30"
"R_1","R_2","R_3","R_4","R_5","R_6","R_7","R_8","R_9","R_10","G_1","G_2","G_3","G_4","G_5","G_6","G_7","G_8","G_9","G_10","B_1","B_2","B_3","B_4","B_5","B_6","B_7","B_8","B_9","B_10"
"47426","127191","55212","36570","50805","32605","14610","13388","19289","12259","4906","41349","45993","118630","83465","72991","14537","13068","10095","4321","15435","88946","123555","54884","32452","51216","31573","10001","1219","74"
"108684","118817","23220","67846","21342","14384","6010","11357","14943","649","5421","58430","108794","115834","62703","16290","4992","12167","2621","27913","187583","54752","22623","31233","46989","10784","5293","82","108684","118817"
"76216","120338","48808","52258","31900","26724","13332","15808","17213","6758","10406","56004","65858","141302","53934","47146","10984","15039","6046","2636","25530","118915","105459","46149","35820","54829","14126","8238","221","68"
"135828","102447","40677","49926","17146","10669","6148","19141","5270","13578","74820","138391","71839","64433","5737","7514","10765","175","43063","195748","40173","27154","57790","10442","10250","2629","3","135828","102447","40677"
"63926","118558","52399","41971","44365","30394","14040","13782","18837","11083","7362","46813","48726","137256","66182","62595","13430","13843","9138","4010","17280","96072","121171","50621","32478","54957","25437","9715","1546","78"
"124233","110118","23834","66037","18190","12593","6564","17787","7818","78","9314","63030","117635","102844","67656","6901","6123","12216","1533","33524","195937","44263","24201","59100","15384","9885","4860","98","124233","110118"
"52287","123820","53816","39817","47011","32235","15265","13185","18972","12947","5957","41418","46657","116294","84497","69992","16444","12923","10518","4655","15273","85226","127001","53925","32565","49033","33831","10103","2321","77"
"117146","114900","22909","67903","18488","13493","6849","16401","8834","329","8166","59877","114034","109116","68848","7771","5739","11506","2195","30474","194933","46665","24525","57714","18267","9603","4983","88","117146","114900"
"70611","117316","50172","44013","41990","29165","13772","14538","18146","9632","8328","49671","55606","144838","56336","57260","11545","14747","7571","3453","19723","104185","115493","50341","32371","53424","23822","9310","615","71"
"133210","104221","29270","60530","17320","11747","6276","19503","5142","33","11114","68572","135522","81062","66007","6239","7238","10946","552","38830","196998","41132","27612","59737","10221","8979","3737","6","133210","104221"
"59519","121992","52480","34806","52034","28691","19706","13596","16411","10120","6485","42710","44817","118060","82082","76112","16089","13203","6074","3723","19437","88610","122447","51721","37716","50560","29375","6802","2637","50"
"76143","117801","48056","37988","45873","28204","18930","13717","15215","7428","9055","47462","58049","139262","51566","71670","11240","13428","4624","2999","24990","103359","110910","52307","35214","56336","17990","7536","701","12"
"129203","110545","22915","67702","16103","10196","5755","20326","4487","20","11701","67944","131033","88079","64560","5760","8209","9831","135","37071","198182","45698","24848","59701","12707","7320","1725","129203","110545","22915"
"57461","125827","53375","36754","50867","28990","17787","13115","16154","9025","7879","46652","53038","124459","69605","75088","11763","12578","4986","3307","19979","96584","120691","53467","34348","54607","21903","6447","1286","43"
"100362","129773","23752","69044","18270","13413","5308","13112","14062","156","6988","55676","106789","121256","67907","9080","5531","13232","793","25981","170190","76583","21459","36936","41974","10048","4052","29","100362","129773"
"49148","139933","47559","37770","48034","31208","13890","12498","17921","11394","5436","41832","47455","109840","96197","70391","13535","12365","8350","3954","15580","83899","128688","57955","35798","51334","26824","7993","1211","73"
"111736","123261","20320","69828","17615","12394","5122","12817","14046","113","6279","58287","109406","118152","65236","10661","4776","12591","1864","25966","181541","65253","22496","38754","38289","11155","3776","22","111736","123261"
"62680","136899","44090","45131","40145","28851","13024","13861","17394","7280","6989","48276","64249","126316","74738","55700","11650","12989","5695","2753","21640","98757","120690","55089","32605","55041","18276","6842","360","55"
